Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,-194.7825,-88.9,180,bottom
C2,10u,C_0402_1005Metric,-194.057911,-84.067246,0,bottom
C4,100n,C_0402_1005Metric,-196.6875,-89.71875,-90,bottom
C5,30p,C_0402_1005Metric,-226.998166,-86.770506,90,bottom
C6,30p,C_0402_1005Metric,-226.998166,-84.790506,90,bottom
C7,100n,C_0402_1005Metric,-225.498166,-87.770506,0,bottom
C8,100n,C_0402_1005Metric,-210.9875,-86.01875,180,bottom
C9,100n,C_0402_1005Metric,-218.227444,-81.05668,90,bottom
C10,100n,C_0402_1005Metric,-225.498166,-86.770506,0,bottom
C11,100n,C_0402_1005Metric,-210.9875,-87.01875,180,bottom
C12,100n,C_0402_1005Metric,-212.9875,-92.51875,-90,bottom
C13,100n,C_0402_1005Metric,-218.263631,-92.039298,-90,bottom
C14,100n,C_0402_1005Metric,-213.0875,-81.91875,180,bottom
C15,10u,C_0402_1005Metric,-204.8875,-85.81875,90,bottom
C17,1u,C_0402_1005Metric,-210.9875,-91.01875,180,bottom
C18,1u,C_0402_1005Metric,-210.9875,-90.01875,180,bottom
D1,D_Small,D_SOD-123,-55.5625,-30.95625,90,bottom
D2,D_Small,D_SOD-123,-74.6125,-30.95625,90,bottom
D3,D_Small,D_SOD-123,-93.6625,-30.95625,90,bottom
D4,D_Small,D_SOD-123,-112.7125,-30.95625,90,bottom
D5,D_Small,D_SOD-123,-125.4125,-27.78125,-90,bottom
D6,D_Small,D_SOD-123,-150.8125,-27.78125,-90,bottom
D7,D_Small,D_SOD-123,-169.8625,-30.95625,90,bottom
D8,D_Small,D_SOD-123,-188.9125,-30.95625,90,bottom
D9,D_Small,D_SOD-123,-207.9625,-30.95625,90,bottom
D10,D_Small,D_SOD-123,-227.0125,-30.95625,90,bottom
D11,D_Small,D_SOD-123,-55.5625,-50.00625,90,bottom
D12,D_Small,D_SOD-123,-74.6125,-50.00625,90,bottom
D13,D_Small,D_SOD-123,-93.6625,-50.00625,90,bottom
D14,D_Small,D_SOD-123,-112.7125,-50.00625,90,bottom
D15,D_Small,D_SOD-123,-131.7625,-50.00625,90,bottom
D16,D_Small,D_SOD-123,-150.8125,-50.00625,90,bottom
D17,D_Small,D_SOD-123,-169.8625,-50.00625,90,bottom
D18,D_Small,D_SOD-123,-188.9125,-50.00625,90,bottom
D19,D_Small,D_SOD-123,-207.9625,-50.00625,90,bottom
D20,D_Small,D_SOD-123,-227.0125,-50.00625,90,bottom
D21,D_Small,D_SOD-123,-60.325,-69.05625,90,bottom
D22,D_Small,D_SOD-123,-84.1375,-69.05625,90,bottom
D23,D_Small,D_SOD-123,-103.1875,-69.05625,90,bottom
D24,D_Small,D_SOD-123,-122.2375,-69.05625,90,bottom
D25,D_Small,D_SOD-123,-141.2875,-69.05625,90,bottom
D26,D_Small,D_SOD-123,-160.3375,-69.05625,90,bottom
D27,D_Small,D_SOD-123,-179.3875,-69.05625,90,bottom
D28,D_Small,D_SOD-123,-198.4375,-68.2625,90,bottom
D29,D_Small,D_SOD-123,-222.25,-69.05625,90,bottom
D30,D_Small,D_SOD-123,-100.0125,-77.7875,-90,bottom
D31,D_Small,D_SOD-123,-106.3625,-77.7875,-90,bottom
D32,D_Small,D_SOD-123,-112.7125,-77.7875,-90,bottom
D33,D_Small,D_SOD-123,-163.5125,-77.7875,-90,bottom
D34,D_Small,D_SOD-123,-169.8625,-77.7875,-90,bottom
D35,D_Small,D_SOD-123,-176.2125,-77.7875,-90,bottom
F1,500mA,Fuse_1206_3216Metric,-130.96875,-24.60625,-90,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-138.1125,-22.4,0,bottom
R1,5.1k,R_0603_1608Metric,-134.291019,-28.481282,0,bottom
R3,5.1k,R_0603_1608Metric,-141.962437,-28.481282,180,bottom
R4,-10k,R_0603_1608Metric,-195.4875,-82.51875,0,bottom
R5,1k,R_0402_1005Metric,-198.2875,-80.31875,180,bottom
R6,27,R_0402_1005Metric,-210.9875,-89.01875,180,bottom
R7,27,R_0402_1005Metric,-210.9875,-88.01875,180,bottom
R8,1k,R_0402_1005Metric,-225.498166,-85.763956,180,bottom
R9,5.1k,R_0402_1005Metric,-222.724696,-90.739256,90,bottom
SW1,MX_SW_HS,SW_MX_HS_1u,-52.3875,-30.1625,180,bottom
SW2,MX_SW_HS,SW_MX_HS_1u,-71.4375,-30.1625,180,bottom
SW3,MX_SW_HS,SW_MX_HS_1u,-90.4875,-30.1625,180,bottom
SW4,MX_SW_HS,SW_MX_HS_1u,-109.5375,-30.1625,180,bottom
SW5,MX_SW_HS,SW_MX_HS_1u,-128.5875,-30.1625,0,bottom
SW6,MX_SW_HS,SW_MX_HS_1u,-147.6375,-30.1625,0,bottom
SW7,MX_SW_HS,SW_MX_HS_1u,-166.6875,-30.1625,180,bottom
SW8,MX_SW_HS,SW_MX_HS_1u,-185.7375,-30.1625,180,bottom
SW9,MX_SW_HS,SW_MX_HS_1u,-204.7875,-30.1625,180,bottom
SW10,MX_SW_HS,SW_MX_HS_1u,-223.8375,-30.1625,180,bottom
SW11,MX_SW_HS,SW_MX_HS_1u,-52.3875,-49.2125,180,bottom
SW12,MX_SW_HS,SW_MX_HS_1u,-71.4375,-49.2125,180,bottom
SW13,MX_SW_HS,SW_MX_HS_1u,-90.4875,-49.2125,180,bottom
SW14,MX_SW_HS,SW_MX_HS_1u,-109.5375,-49.2125,180,bottom
SW15,MX_SW_HS,SW_MX_HS_1u,-128.5875,-49.2125,180,bottom
SW16,MX_SW_HS,SW_MX_HS_1u,-147.6375,-49.2125,180,bottom
SW17,MX_SW_HS,SW_MX_HS_1u,-166.6875,-49.2125,180,bottom
SW18,MX_SW_HS,SW_MX_HS_1u,-185.7375,-49.2125,180,bottom
SW19,MX_SW_HS,SW_MX_HS_1u,-204.7875,-49.2125,180,bottom
SW20,MX_SW_HS,SW_MX_HS_1u,-223.8375,-49.2125,180,bottom
SW21,MX_SW_HS,SW_MX_HS_1.5u,-57.15,-68.2625,180,bottom
SW22,MX_SW_HS,SW_MX_HS_1u,-80.9625,-68.2625,180,bottom
SW23,MX_SW_HS,SW_MX_HS_1u,-100.0125,-68.2625,180,bottom
SW24,MX_SW_HS,SW_MX_HS_1u,-119.0625,-68.2625,180,bottom
SW25,MX_SW_HS,SW_MX_HS_1u,-138.1125,-68.2625,180,bottom
SW26,MX_SW_HS,SW_MX_HS_1u,-157.1625,-68.2625,180,bottom
SW27,MX_SW_HS,SW_MX_HS_1u,-176.2125,-68.2625,180,bottom
SW28,MX_SW_HS,SW_MX_HS_1u,-195.2625,-68.2625,180,bottom
SW29,MX_SW_HS,SW_MX_HS_1.5u,-219.075,-68.2625,180,bottom
SW39,MX_SW_HS,SW_MX_HS_1.25u,-92.86875,-87.3125,180,bottom
SW40,MX_SW_HS,SW_MX_HS_1.75u,-121.44375,-87.3125,180,bottom
SW41,MX_SW_HS,SW_MX_HS_1u,-109.5375,-87.3125,0,bottom
SW42,MX_SW_HS,SW_MX_HS_1u,-138.1125,-87.3125,180,bottom
SW43,MX_SW_HS,SW_MX_HS_1u,-166.6875,-87.3125,0,bottom
SW44,MX_SW_HS,SW_MX_HS_1.75u,-154.78125,-87.3125,180,bottom
SW45,MX_SW_HS,SW_MX_HS_1.25u,-183.35625,-87.3125,180,bottom
SWD2,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,-227.95,-94.45625,90,bottom
SWR1,SW_SPST,SW_SPST_TL3342,-200.025,-73.81875,180,bottom
SWR2,SW_SPST,SW_SPST_TL3342,-216.69375,-73.81875,180,bottom
U1,XC6206PxxxMR,SOT-23,-194.734795,-86.534478,0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,-200.2875,-85.61875,-90,bottom
U3,RP2040TR7,QFN40P700X700X90-57N,-217.4875,-86.51875,-90,bottom
U4,SRV05-4,SOT-23-6-routable,-138.1125,-29.4,180,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-229.498166,-85.770506,90,bottom
